"airport","arr_flights","arr_cancelled","arr_delayed","arr_delay_time","longitude_deg","latitude_deg","region_name","USAFID","lat","lon","temp","elev","wind.sp","vis.dist","rh","d"
"JLN",3993,151,696,52078,-94.498299,37.151798,"Missouri",723495,37.152,-94.498,24.3162055335968,299.99604743083,2.55093966369931,13812.6630434783,84.2636015065185,0.0347379825113205
"JMS",4841,226,654,76895,-98.67819977,46.92969894,"NorthDakota",720911,46.941,-98.018,18.3424782807499,427,3.94012826385709,15234.4469350412,84.6066496278065,50.1422390233578
"JNU",21336,313,2974,142906,-134.57600402832,58.3549995422363,"Alaska",720272,48.467,-122.421,18.7337224966322,44,1.88197752808989,14266.2198100407,74.4413045794844,1358.66733581211
"JST",1391,53,186,21764,-78.8339004516602,40.3161010742188,"Pennsylvania",725127,40.316,-78.834,20.1159392789374,696,2.87889733840304,13622.9611005693,75.2453467791403,0.014055260595532
"KOA",70168,695,8193,378828,-156.045603,19.738783,"Hawaii",720646,37.513,-122.501,15.5011343584573,20,2.81851193499238,9740.47969735183,90.1972552804278,3793.29856915596
"KTN",11128,130,1613,81677,-131.7140045,55.35559845,"Alaska",720272,48.467,-122.421,18.7337224966322,44,1.88197752808989,14266.2198100407,74.4413045794844,994.798185638793
"LAN",11401,301,1783,131400,-84.58740234375,42.7787017822266,"Michigan",725390,42.767,-84.6,20.8794616151545,266,2.88321608040201,14731.3160518445,70.0151199621656,1.65842617598702
"LAR",3132,134,503,48684,-105.675003051758,41.3120994567871,"Wyoming",725645,41.312,-105.683,18.3967351874244,2217.01451027811,4.88928136419001,15672.192261185,44.5305422249384,0.668007255910346
"LAS",762357,17368,137603,7987790,-115.151817,36.083361,"Nevada",723860,36.072,-115.167,34.784960718294,663.913580246914,2.9685393258427,16080.0572390572,14.6168315586429,1.85949879386608
"LAW",5070,262,755,54405,-98.4166030884,34.5676994324,"Oklahoma",723575,34.558,-98.417,29.6009512485137,338,4.10328467153285,15578.7360285375,62.2942445224896,1.07913989041871
"LAX",943834,16107,154683,9677924,-118.407997,33.942501,"California",722950,33.933,-118.408,20.62909632572,90.6891757696127,3.29304174950298,13843.7338629593,78.7811951159117,1.05646303430034
"LBB",28501,950,5434,361643,-101.822998,33.663601,"Texas",722670,33.65,-101.823,28.5632096069869,988.013100436681,4.70644104803494,15851.0109170306,48.8586853781248,1.51236220862147
"LBE",4977,127,843,61217,-79.4048,40.275902,"Pennsylvania",725207,40.276,-79.405,20.0325467860049,361,1.63279088689992,13537.9536208299,86.7557746790307,0.0201649729320937
"LBF",3113,85,489,36716,-100.6839981,41.12620163,"Nebraska",725620,41.117,-100.7,21.5297720797721,848.817663817664,3.2735902926481,14460.1424501424,80.8486604559361,1.68628294547649
"LBL",2961,84,420,32382,-100.9599991,37.0442009,"Kansas",724516,37.044,-100.966,25.5532751091703,879,4.86441048034935,14934.3580786026,66.310972072124,0.533064263613383
"LCH",6929,280,977,62791,-93.2232971191406,30.1261005401611,"Louisiana",722400,30.125,-93.228,28.6245928338762,3.6042345276873,2.14714518760196,14385.3200325733,79.9807009781681,0.468564662066911
"LCK",5278,217,1209,89045,-82.927803,39.813801,"Ohio",724285,39.814,-82.933,22.6858921161826,227,2.413258897418,15464.1282940361,72.7898604928056,0.444437147415965
"LEX",34833,822,5487,360376,-84.605904,38.036499,"Kentucky",724220,38.033,-84.606,24.8781818181818,301,2.74163461538461,14197,66.8243626629932,0.389161883755941
"LFT",18339,512,2928,211720,-91.987602,30.205299,"Louisiana",722405,30.205,-91.988,27.2495901639344,13,1.93713991769547,14570.7049180328,82.6293586333871,0.0506775442911005
"LGA",622984,23908,131500,9770812,-73.872597,40.777199,"NewYork",725030,40.777,-73.88,24.7689929328622,8.99469964664311,3.93939929328622,15392.6492932862,64.0385168056377,0.623747749846131
"LGB",69106,1029,11243,610519,-118.149891,33.816523,"California",722970,33.812,-118.152,22.7604020100502,12.0422110552764,2.32598187311178,14380.2361809045,66.8080379966176,0.539357564066763
"LIH",62467,738,7261,342069,-159.339005,21.976,"Hawaii",725945,40.978,-124.109,15.4598667776853,64.0099916736053,1.96325,11543.1873438801,84.6060865900315,3912.59279153284
"LIT",54526,1266,9663,537773,-92.223728,34.729582,"Arkansas",723403,34.727,-92.239,26.7800224466891,78.0224466891134,2.39775533108867,14707.4500561167,78.1451356410231,1.42488655988878
"LNK",6223,203,1026,72461,-96.7592010498047,40.851001739502,"Nebraska",725510,40.85,-96.767,23.118476357268,362.026269702277,3.40149253731343,15080.0831873905,76.119284944069,0.665359274459192
"LRD",8886,218,1305,87349,-99.4616012573242,27.5438003540039,"Texas",722520,27.533,-99.467,32.7422588832487,155,5.10418781725888,16019.4898477157,54.289886713296,1.31362440664801
"LSE",8463,181,1290,88154,-91.256699,43.879002,"Wisconsin",726430,43.879,-91.257,21.6845211581292,199.997772828508,2.83690078037904,15135.131403118,69.6931761878843,0.0241261391512433
"LWB",3017,96,575,48448,-80.3994979858,37.8582992554,"WestVirginia",724127,37.858,-80.4,21.0831215048297,702,1.19505102040816,14228.0767955801,75.925907336123,0.0552239632883711
"LWS",4159,24,335,20794,-117.014999389648,46.3745002746582,"Idaho",725784,46.14,-115.6,20.8705802968961,451.195681511471,0.50445945945946,NA,64.2470367967955,111.868391768835
"LYH",2386,88,393,23264,-79.200401,37.326698,"Virginia",724100,37.321,-79.207,23.7455140186916,286,1.73018691588785,14655.1757009346,77.0822639908476,0.861349426562507
"MAF",40180,1234,7561,499716,-102.202003,31.942499,"Texas",722650,31.943,-102.208,30.7490649064907,872.27502750275,4.70376940133038,15777.4378437844,44.8202603856758,0.568597411348679
"MBS",8725,197,1314,111304,-84.079597,43.532902,"Michigan",726379,43.533,-84.08,20.749667405765,204,3.22527839643652,14413.9035476718,69.7874761042393,0.0342662891604046
"MCI",225961,5802,38800,2244676,-94.713898,39.2976,"Missouri",724460,39.283,-94.75,23.8061172472387,312.210705182668,3.87174468085107,14869.8266779949,79.4226929391698,3.50548466206221
"MCO",665273,16490,134702,8802023,-81.3089981079102,28.4293994903564,"Florida",722050,28.429,-81.325,27.0588951310861,31.9915730337079,3.02752808988764,15232.9953183521,82.000692618644,1.56538330934118
"MCW",997,48,128,16740,-93.331299,43.157799,"Iowa",725485,43.154,-93.331,19.6028741328048,372.994053518335,3.17706057596823,13450.5916749257,79.3564264670413,0.423125216057944
"MDT",25054,757,3907,253339,-76.763397,40.193501,"Pennsylvania",723990,40.193,-76.772,24.1261061946903,94.9966814159292,2.25687361419069,14275.6814159292,70.3686098832582,0.732848075381899
"MDW",378525,14638,61383,3167987,-87.752403,41.785999,"Illinois",725340,41.783,-87.752,23.4067567567568,188.258835758836,3.62151767151767,15244.1226611227,68.4635176992028,0.3351434446842
"MEI",3563,81,664,66556,-88.7519,32.3326,"Mississippi",722340,32.333,-88.752,26.9116580310881,93.9948186528497,1.68986135181976,14500.7081174439,78.4100000912746,0.0454594865108975
"MEM",101144,2700,18962,1140036,-89.9766998291016,35.0424003601074,"Tennessee",723340,35.05,-90,27.3265288544358,98.0189655172414,2.55427092320966,15416.7663793103,75.8593173007261,2.28324382326681
